OBJECTID,BOEM Lease Number,Project Name,Project Phase Number,Developer Name,Area (ac),Area (ha)
1,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,82730.88147799,33479.999904
2,OCS-A 0517,South Fork Wind,,"South Fork Wind, LLC",13699.52234854,5544
3,OCS-A 0487,Sunrise Wind,,Orsted,106393.75291899,43056.02423035
4,OCS-A 0501,VW1,,Vineyard Wind,65322.29659214,26435.03635788
5,OCS-A 0501,New England Wind,1,"Avangrid Renewables, LLC",10294.72983497,4166.12935495
6,OCS-A 0534,New England Wind,2,"Park City Wind, LLC",54746.23974373,22155.01719091
7,OCS-A 0534,New England Wind,1 and 2,"Park City Wind, LLC",19913.86166465,8058.85389724
13,OCS-A 0499,Project 2,2,"Atlantic Shores Offshore Wind, LLC",31846.94154885,12887.99999408
14,OCS-A 0499,Project 1,1,"Atlantic Shores Offshore Wind, LLC",54175.38378317,21923.99997989
15,OCS-A 0499,Mutual Project Overlap (Project 1 or 2),1 and 2,"Atlantic Shores Offshore Wind, LLC",16101.38668563,6516.00001183
16,OCS-A 0498,Ocean Wind Offshore Wind Farm Project (OCW01),1,Ocean Wind LLC,68498,30563.91015
22,OCS-A 0521,SouthCoast Wind,,"SouthCoast Wind Energy, LLC",127387.90212736,51552.05498602
34,OCS-A 0534,New England Wind,1,"Park City Wind, LLC",26784.1970181,10839.17997215
35,OCS-A 0534,New England Wind,NA,"Park City Wind, LLC",88.99852922,36.01642696
36,OCS-A 0534,New England Wind,NA,"Park City Wind, LLC",88.99978291,36.0169343
37,OCS-A 0512,Empire Wind,1,"Empire Offshore Wind, LLC",27094.94332338,10964.93454028
38,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",38362.57983778,15524.78525963
44,OCS-A 0559,Kitty Hawk North,1,"Avangrid Renewables, LLC",48075.21187562,19455.34799371
51,OCS-A 0522,Vineyard Northeast,,Vineyard Northeast LLC,132440.43627781,53596.74301363
52,OCS-A 0522,Vineyard Northeast,,Vineyard Northeast LLC,88.99672138,36.01569535
54,OCS-A 0483,"Coastal Virginia Offshore Wind Commercial Project
",,Dominion Energy,112885.93296949,45683.49901743
